Serial No,Date,User Name,Bank Name,Account Number,Statement Period,Ending Balance,Daily Balance
29,2024-01-21,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,247296
30,2024-01-19,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,253110
31,2024-01-19,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,253110
32,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
33,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
34,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
35,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
36,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
37,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
38,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
39,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
40,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
41,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
42,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
43,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
44,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
45,2024-01-26,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,820225
46,2024-01-24,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,827682
47,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
48,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
49,2024-01-18,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,77610
50,2024-01-17,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,85110
51,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
52,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
53,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
54,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
55,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
56,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
57,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
58,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
59,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
60,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
61,2024-01-26,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,820225
62,2024-01-24,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,827682
63,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
64,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
65,2024-01-18,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,77610
66,2024-01-17,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,85110
67,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
68,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
69,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
70,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
71,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
72,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
73,2024-01-30,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,266619
74,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
75,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
76,2024-01-29,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,308989
77,2024-01-26,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,820225
78,2024-01-24,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,827682
79,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
80,2024-01-19,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,60610
81,2024-01-18,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,77610
82,2024-01-17,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,85110
