Serial No,Date,User Name,Bank Name,Account Number,Statement Period,Ending Balance,Daily Balance
120,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,201417
121,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,308009
122,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,308009
123,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
124,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
125,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
126,2024-01-20,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
127,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
128,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
129,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
130,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
131,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
132,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
133,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
134,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
135,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
136,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
137,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
138,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
139,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
140,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
141,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,820225
142,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,320225
143,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
144,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
145,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
146,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
147,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
148,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,0
149,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
150,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
151,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
152,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
153,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
154,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
155,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
156,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
157,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
158,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
159,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
160,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
161,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
162,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
163,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,820225
164,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,320225
165,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
166,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
167,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
168,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
169,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
170,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,0
171,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
172,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
173,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,810141
174,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
175,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
176,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
177,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
178,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
179,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
180,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
181,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
182,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,808957
183,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
184,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,886182
185,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,820225
186,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,320225
187,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
188,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,68110
189,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
190,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
191,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,85110
192,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260018.88,0
193,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
194,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
195,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
196,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
197,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
198,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
199,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
200,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
201,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
202,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
203,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
204,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,350225
205,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,357682
206,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,78110
207,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
208,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
209,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,0
210,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,0
211,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
212,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
213,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
214,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
215,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
216,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
217,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
218,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
219,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
220,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
221,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
222,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,350225
223,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,357682
224,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,78110
225,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
226,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
227,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,0
228,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,0
229,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
230,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
231,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,831847
232,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
233,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
234,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
235,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
236,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
237,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,827682
238,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
239,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,806997
240,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,350225
241,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,357682
242,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,78110
243,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
244,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200018.88,85110
